Disease,Medicine,Usage,Symptoms,Precautions,SideEffects
Fever,Calcium Tablets,Use twice daily,High temperature,Avoid spicy food,Constipation
Eye Infection,Cough Syrup,Take before sleep,High temperature,Drink warm water,Dizziness
Vomiting,Calcium Tablets,Take before meal,Burning sensation,Do not overdose,Fatigue
Allergy,Azithromycin,Take before sleep,Sneezing and cough,Take proper rest,Constipation
Allergy,Pantoprazole,Take after meal,Body pain and weakness,Consult doctor if problem continues,Nausea
Skin Infection,Paracetamol,Take before sleep,Breathing problem,Drink warm water,Dry mouth
Weakness,Vitamin Tablets,Drink water with medicine,Body pain and weakness,Consult doctor if problem continues,Nausea
Vomiting,Paracetamol,Take after meal,Head pain and stress,Drink warm water,Dry mouth
Vomiting,Salbutamol Inhaler,Use twice daily,Head pain and stress,Avoid cold drinks,Nausea
Tooth Pain,Amlodipine,Take before sleep,High temperature,Consult doctor if problem continues,Sleepiness
Diabetes,Pain Relief Gel,Take before sleep,Vomiting and nausea,Do not overdose,Constipation
BP,Metformin,Take before sleep,Head pain and stress,Do not overdose,Sleepiness
Typhoid,Salbutamol Inhaler,Drink water with medicine,High temperature,Consult doctor if problem continues,Dry mouth
Eye Infection,Azithromycin,Use once daily,Vomiting and nausea,Avoid spicy food,Dry mouth
Ear Infection,Insulin,Use twice daily,Stomach infection,Avoid spicy food,Nausea
Diarrhea,Ibuprofen,Drink water with medicine,Body pain and weakness,Avoid spicy food,Constipation
Acidity,Amoxicillin,Use twice daily,Body pain and weakness,Consult doctor if problem continues,Sleepiness
Stomach Pain,Omeprazole,Drink water with medicine,Breathing problem,Do not overdose,Nausea
Stomach Pain,Pain Relief Gel,Take before sleep,Breathing problem,Take proper rest,Fatigue
Stomach Pain,Pain Relief Gel,Take before sleep,Stomach infection,Consult doctor if problem continues,Dizziness
Diabetes,Antibiotic Cream,Take after meal,Breathing problem,Consult doctor if problem continues,Nausea
Eye Infection,Omeprazole,Use once daily,High temperature,Avoid spicy food,Fatigue
Cough,Dolo 650,Drink water with medicine,Head pain and stress,Do not overdose,Nausea
Skin Infection,Insulin,Use once daily,High temperature,Take proper rest,Constipation
Ear Infection,Amlodipine,Use twice daily,Vomiting and nausea,Avoid cold drinks,Constipation
Cough,Amlodipine,Use once daily,High temperature,Avoid cold drinks,Dry mouth
Cold,Omeprazole,Take before meal,Body pain and weakness,Avoid cold drinks,Dizziness
Headache,Azithromycin,Take before meal,Breathing problem,Take proper rest,Fatigue
Weakness,ORS,Use twice daily,Sneezing and cough,Avoid spicy food,Fatigue
Weakness,Paracetamol,Drink water with medicine,Head pain and stress,Avoid spicy food,Constipation
Headache,Dolo 650,Take before sleep,Sneezing and cough,Do not overdose,Sleepiness
BP,Pantoprazole,Take after meal,Breathing problem,Drink warm water,Dry mouth
Asthma,Azithromycin,Drink water with medicine,Stomach infection,Avoid cold drinks,Dizziness
Ear Infection,Ibuprofen,Use twice daily,Sneezing and cough,Avoid spicy food,Sleepiness
Cough,Vitamin Tablets,Use twice daily,Vomiting and nausea,Avoid spicy food,Sleepiness
Fever,ORS,Use twice daily,Body pain and weakness,Take proper rest,Dry mouth
Skin Infection,Antibiotic Cream,Take before sleep,Stomach infection,Avoid spicy food,Sleepiness
Allergy,Azithromycin,Use twice daily,Head pain and stress,Avoid cold drinks,Constipation
Joint Pain,Pain Relief Gel,Use once daily,Head pain and stress,Do not overdose,Constipation
Tooth Pain,Pantoprazole,Take before sleep,Breathing problem,Drink warm water,Dry mouth
Fever,Cetirizine,Drink water with medicine,High temperature,Consult doctor if problem continues,Dry mouth
Skin Infection,Metformin,Drink water with medicine,Burning sensation,Avoid spicy food,Sleepiness
Eye Infection,Crocin,Take after meal,Breathing problem,Drink warm water,Sleepiness
Weakness,Cetirizine,Take after meal,Breathing problem,Avoid spicy food,Constipation
Acidity,Antacid,Use twice daily,Burning sensation,Do not overdose,Nausea
Diarrhea,Antacid,Take after meal,Burning sensation,Drink warm water,Constipation
Migraine,Insulin,Use twice daily,High temperature,Drink warm water,Fatigue
Migraine,ORS,Use once daily,Burning sensation,Consult doctor if problem continues,Nausea
Tooth Pain,Cough Syrup,Take after meal,Vomiting and nausea,Drink warm water,Dry mouth
Allergy,Antibiotic Cream,Drink water with medicine,Stomach infection,Take proper rest,Dry mouth
Asthma,Crocin,Use once daily,High temperature,Avoid cold drinks,Nausea
Asthma,Azithromycin,Use once daily,Burning sensation,Consult doctor if problem continues,Dry mouth
Cough,Omeprazole,Drink water with medicine,Burning sensation,Drink warm water,Nausea
Eye Infection,Antacid,Use twice daily,Breathing problem,Drink warm water,Dry mouth
Vomiting,Antibiotic Cream,Take before sleep,Head pain and stress,Avoid spicy food,Constipation
Fever,Omeprazole,Take after meal,Sneezing and cough,Take proper rest,Sleepiness
Skin Infection,Cough Syrup,Use once daily,Vomiting and nausea,Take proper rest,Dizziness
Diarrhea,Omeprazole,Use once daily,Body pain and weakness,Drink warm water,Dry mouth
Joint Pain,Cough Syrup,Take before meal,Breathing problem,Take proper rest,Dizziness
Skin Infection,Salbutamol Inhaler,Take before meal,Burning sensation,Take proper rest,Constipation
Weakness,Metformin,Use once daily,Head pain and stress,Do not overdose,Dry mouth
Joint Pain,Pain Relief Gel,Take before sleep,Body pain and weakness,Avoid cold drinks,Fatigue
Typhoid,Pain Relief Gel,Take after meal,Breathing problem,Take proper rest,Dizziness
Joint Pain,Antibiotic Cream,Take before meal,Body pain and weakness,Avoid spicy food,Fatigue
Skin Infection,Amoxicillin,Take before sleep,Body pain and weakness,Take proper rest,Sleepiness
Ear Infection,Cetirizine,Take after meal,Sneezing and cough,Consult doctor if problem continues,Dry mouth
Cough,Pain Relief Gel,Drink water with medicine,Head pain and stress,Take proper rest,Dry mouth
Fever,Antacid,Drink water with medicine,Sneezing and cough,Consult doctor if problem continues,Nausea
Eye Infection,Cetirizine,Take before sleep,Body pain and weakness,Take proper rest,Fatigue
Headache,Salbutamol Inhaler,Use once daily,Head pain and stress,Consult doctor if problem continues,Dizziness
Fever,Cough Syrup,Drink water with medicine,Sneezing and cough,Avoid cold drinks,Constipation
Ear Infection,Omeprazole,Take before meal,Head pain and stress,Take proper rest,Sleepiness
Typhoid,Insulin,Drink water with medicine,Stomach infection,Do not overdose,Sleepiness
